"Time (CET/CEST)","Situation - SCA|NL","Open loop control area error [MW] - SCA|NL"
"01.04.2021 05:59 - 01.04.2021 06:00","Surplus","158.18"
"01.04.2021 06:00 - 01.04.2021 06:01","Surplus","89.06"
"01.04.2021 06:01 - 01.04.2021 06:02","Surplus","162.14"
"01.04.2021 06:02 - 01.04.2021 06:03","Surplus","174.24"
"01.04.2021 06:03 - 01.04.2021 06:04","Surplus","97.57"
"01.04.2021 06:04 - 01.04.2021 06:05","Deficit","33.64"
"01.04.2021 06:05 - 01.04.2021 06:06","Deficit","70.57"
"01.04.2021 06:06 - 01.04.2021 06:07","Deficit","73.68"
"01.04.2021 06:07 - 01.04.2021 06:08","Deficit","65.35"
"01.04.2021 06:08 - 01.04.2021 06:09","Deficit","85.77"
"01.04.2021 06:09 - 01.04.2021 06:10","Deficit","108.87"
"01.04.2021 06:10 - 01.04.2021 06:11","Deficit","130.02"
"01.04.2021 06:11 - 01.04.2021 06:12","Deficit","116.85"
"01.04.2021 06:12 - 01.04.2021 06:13","Deficit","108.26"
"01.04.2021 06:13 - 01.04.2021 06:14","Deficit","76.15"
"01.04.2021 06:14 - 01.04.2021 06:15","Deficit","61.02"
"01.04.2021 06:15 - 01.04.2021 06:16","Deficit","28.35"
"01.04.2021 06:16 - 01.04.2021 06:17","Surplus","10.26"
"01.04.2021 06:17 - 01.04.2021 06:18","Surplus","27.46"
"01.04.2021 06:18 - 01.04.2021 06:19","Surplus","20.37"
"01.04.2021 06:19 - 01.04.2021 06:20","Deficit","24.85"
"01.04.2021 06:20 - 01.04.2021 06:21","Deficit","19.76"
"01.04.2021 06:21 - 01.04.2021 06:22","Deficit","1.31"
"01.04.2021 06:22 - 01.04.2021 06:23","Deficit","5.57"
"01.04.2021 06:23 - 01.04.2021 06:24","Surplus","8.80"
"01.04.2021 06:24 - 01.04.2021 06:25","Deficit","3.25"
"01.04.2021 06:25 - 01.04.2021 06:26","Deficit","2.78"
"01.04.2021 06:26 - 01.04.2021 06:27","Surplus","6.98"
"01.04.2021 06:27 - 01.04.2021 06:28","Deficit","1.81"
"01.04.2021 06:28 - 01.04.2021 06:29","Surplus","0.14"
"01.04.2021 06:29 - 01.04.2021 06:30","Surplus","3.95"
"01.04.2021 06:30 - 01.04.2021 06:31","Surplus","4.04"
"01.04.2021 06:31 - 01.04.2021 06:32","Deficit","8.32"
"01.04.2021 06:32 - 01.04.2021 06:33","Surplus","9.47"
"01.04.2021 06:33 - 01.04.2021 06:34","Surplus","12.20"
"01.04.2021 06:34 - 01.04.2021 06:35","Surplus","2.52"
"01.04.2021 06:35 - 01.04.2021 06:36","Deficit","5.37"
"01.04.2021 06:36 - 01.04.2021 06:37","Deficit","1.58"
"01.04.2021 06:37 - 01.04.2021 06:38","Surplus","5.95"
"01.04.2021 06:38 - 01.04.2021 06:39","Deficit","11.28"
"01.04.2021 06:39 - 01.04.2021 06:40","Deficit","5.25"
"01.04.2021 06:40 - 01.04.2021 06:41","Deficit","3.87"
"01.04.2021 06:41 - 01.04.2021 06:42","Surplus","3.95"
"01.04.2021 06:42 - 01.04.2021 06:43","Surplus","1.98"
"01.04.2021 06:43 - 01.04.2021 06:44","Surplus","2.18"
"01.04.2021 06:44 - 01.04.2021 06:45","Deficit","0.90"
"01.04.2021 06:45 - 01.04.2021 06:46","Deficit","0.02"
"01.04.2021 06:46 - 01.04.2021 06:47","Deficit","3.44"
"01.04.2021 06:47 - 01.04.2021 06:48","Surplus","6.78"
"01.04.2021 06:48 - 01.04.2021 06:49","Deficit","0.59"
"01.04.2021 06:49 - 01.04.2021 06:50","Deficit","3.54"
"01.04.2021 06:50 - 01.04.2021 06:51","Surplus","0.95"
"01.04.2021 06:51 - 01.04.2021 06:52","Deficit","2.22"
"01.04.2021 06:52 - 01.04.2021 06:53","Surplus","1.60"
"01.04.2021 06:53 - 01.04.2021 06:54","Surplus","3.57"
"01.04.2021 06:54 - 01.04.2021 06:55","Deficit","6.28"
"01.04.2021 06:55 - 01.04.2021 06:56","Surplus","14.26"
"01.04.2021 06:56 - 01.04.2021 06:57","Surplus","6.18"
"01.04.2021 06:57 - 01.04.2021 06:58","Surplus","17.36"
"01.04.2021 06:58 - 01.04.2021 06:59","Deficit","1.52"
"01.04.2021 06:59 - 01.04.2021 07:00","Surplus","13.46"
"01.04.2021 07:00 - 01.04.2021 07:01","Deficit","1.60"
"01.04.2021 07:01 - 01.04.2021 07:02","Deficit","2.22"
"01.04.2021 07:02 - 01.04.2021 07:03","Surplus","21.85"
"01.04.2021 07:03 - 01.04.2021 07:04","Surplus","196.95"
"01.04.2021 07:04 - 01.04.2021 07:05","Surplus","316.41"
"01.04.2021 07:05 - 01.04.2021 07:06","Surplus","323.03"
"01.04.2021 07:06 - 01.04.2021 07:07","Surplus","340.77"
"01.04.2021 07:07 - 01.04.2021 07:08","Surplus","215.64"
"01.04.2021 07:08 - 01.04.2021 07:09","Surplus","66.16"
"01.04.2021 07:09 - 01.04.2021 07:10","Surplus","38.20"
"01.04.2021 07:10 - 01.04.2021 07:11","Surplus","26.68"
"01.04.2021 07:11 - 01.04.2021 07:12","Surplus","53.43"
"01.04.2021 07:12 - 01.04.2021 07:13","Deficit","18.84"
"01.04.2021 07:13 - 01.04.2021 07:14","Surplus","1.86"
"01.04.2021 07:14 - 01.04.2021 07:15","Surplus","30.67"
"01.04.2021 07:15 - 01.04.2021 07:16","Surplus","119.69"
"01.04.2021 07:16 - 01.04.2021 07:17","Surplus","158.01"
"01.04.2021 07:17 - 01.04.2021 07:18","Surplus","146.67"
"01.04.2021 07:18 - 01.04.2021 07:19","Surplus","26.98"
"01.04.2021 07:19 - 01.04.2021 07:20","Surplus","117.57"
"01.04.2021 07:20 - 01.04.2021 07:21","Surplus","18.49"
"01.04.2021 07:21 - 01.04.2021 07:22","Deficit","0.70"
"01.04.2021 07:22 - 01.04.2021 07:23","Surplus","22.60"
"01.04.2021 07:23 - 01.04.2021 07:24","Surplus","187.10"
"01.04.2021 07:24 - 01.04.2021 07:25","Surplus","177.08"
"01.04.2021 07:25 - 01.04.2021 07:26","Surplus","129.07"
"01.04.2021 07:26 - 01.04.2021 07:27","Surplus","167.11"
"01.04.2021 07:27 - 01.04.2021 07:28","Surplus","166.78"
"01.04.2021 07:28 - 01.04.2021 07:29","Surplus","178.20"
"01.04.2021 07:29 - 01.04.2021 07:30","Surplus","116.52"
"01.04.2021 07:30 - 01.04.2021 07:31","Surplus","66.18"
"01.04.2021 07:31 - 01.04.2021 07:32","Surplus","10.30"
"01.04.2021 07:32 - 01.04.2021 07:33","Deficit","6.49"
"01.04.2021 07:33 - 01.04.2021 07:34","Surplus","20.39"
"01.04.2021 07:34 - 01.04.2021 07:35","Deficit","22.22"
"01.04.2021 07:35 - 01.04.2021 07:36","Deficit","55.34"
"01.04.2021 07:36 - 01.04.2021 07:37","Deficit","131.12"
"01.04.2021 07:37 - 01.04.2021 07:38","Deficit","97.75"
"01.04.2021 07:38 - 01.04.2021 07:39","Deficit","95.24"
"01.04.2021 07:39 - 01.04.2021 07:40","Deficit","100.23"
"01.04.2021 07:40 - 01.04.2021 07:41","Deficit","92.28"
"01.04.2021 07:41 - 01.04.2021 07:42","Deficit","71.28"
"01.04.2021 07:42 - 01.04.2021 07:43","Deficit","17.45"
"01.04.2021 07:43 - 01.04.2021 07:44","Deficit","22.07"
"01.04.2021 07:44 - 01.04.2021 07:45","Deficit","35.38"
"01.04.2021 07:45 - 01.04.2021 07:46","Deficit","20.92"
"01.04.2021 07:46 - 01.04.2021 07:47","Deficit","14.27"
"01.04.2021 07:47 - 01.04.2021 07:48","Deficit","20.08"
"01.04.2021 07:48 - 01.04.2021 07:49","Deficit","14.44"
"01.04.2021 07:49 - 01.04.2021 07:50","Deficit","8.35"
"01.04.2021 07:50 - 01.04.2021 07:51","Surplus","4.14"
"01.04.2021 07:51 - 01.04.2021 07:52","Surplus","4.81"
"01.04.2021 07:52 - 01.04.2021 07:53","Deficit","0.30"
"01.04.2021 07:53 - 01.04.2021 07:54","Surplus","27.26"
"01.04.2021 07:54 - 01.04.2021 07:55","Surplus","6.18"
"01.04.2021 07:55 - 01.04.2021 07:56","Deficit","7.56"
"01.04.2021 07:56 - 01.04.2021 07:57","Deficit","5.48"
"01.04.2021 07:57 - 01.04.2021 07:58","Deficit","2.64"
"01.04.2021 07:58 - 01.04.2021 07:59","Deficit","26.70"
"01.04.2021 07:59 - 01.04.2021 08:00","Deficit","25.52"
"01.04.2021 08:00 - 01.04.2021 08:01","Deficit","49.65"
"01.04.2021 08:01 - 01.04.2021 08:02","Deficit","34.93"
"01.04.2021 08:02 - 01.04.2021 08:03","Deficit","46.32"
"01.04.2021 08:03 - 01.04.2021 08:04","Deficit","76.97"
"01.04.2021 08:04 - 01.04.2021 08:05","Deficit","76.01"
"01.04.2021 08:05 - 01.04.2021 08:06","Deficit","67.10"
"01.04.2021 08:06 - 01.04.2021 08:07","Deficit","86.70"
"01.04.2021 08:07 - 01.04.2021 08:08","Deficit","92.16"
"01.04.2021 08:08 - 01.04.2021 08:09","Deficit","105.30"
"01.04.2021 08:09 - 01.04.2021 08:10","Deficit","114.79"
"01.04.2021 08:10 - 01.04.2021 08:11","Deficit","45.97"
"01.04.2021 08:11 - 01.04.2021 08:12","Surplus","49.81"
"01.04.2021 08:12 - 01.04.2021 08:13","Surplus","30.78"
"01.04.2021 08:13 - 01.04.2021 08:14","Surplus","16.22"
"01.04.2021 08:14 - 01.04.2021 08:15","Surplus","52.39"
"01.04.2021 08:15 - 01.04.2021 08:16","Surplus","56.08"
"01.04.2021 08:16 - 01.04.2021 08:17","Surplus","13.99"
"01.04.2021 08:17 - 01.04.2021 08:18","Deficit","2.21"
"01.04.2021 08:18 - 01.04.2021 08:19","Surplus","39.66"
"01.04.2021 08:19 - 01.04.2021 08:20","Surplus","31.99"
"01.04.2021 08:20 - 01.04.2021 08:21","Surplus","37.60"
"01.04.2021 08:21 - 01.04.2021 08:22","Surplus","39.15"
"01.04.2021 08:22 - 01.04.2021 08:23","Surplus","16.63"
"01.04.2021 08:23 - 01.04.2021 08:24","Surplus","29.82"
"01.04.2021 08:24 - 01.04.2021 08:25","Surplus","22.59"
"01.04.2021 08:25 - 01.04.2021 08:26","Surplus","12.58"
"01.04.2021 08:26 - 01.04.2021 08:27","Surplus","18.39"
"01.04.2021 08:27 - 01.04.2021 08:28","Surplus","9.25"
"01.04.2021 08:28 - 01.04.2021 08:29","Surplus","3.24"
"01.04.2021 08:29 - 01.04.2021 08:30","Surplus","11.84"
"01.04.2021 08:30 - 01.04.2021 08:31","Surplus","4.48"
"01.04.2021 08:31 - 01.04.2021 08:32","Surplus","0.99"
"01.04.2021 08:32 - 01.04.2021 08:33","Deficit","4.45"
"01.04.2021 08:33 - 01.04.2021 08:34","Surplus","15.15"
"01.04.2021 08:34 - 01.04.2021 08:35","Deficit","1.17"
"01.04.2021 08:35 - 01.04.2021 08:36","Surplus","0.54"
"01.04.2021 08:36 - 01.04.2021 08:37","Surplus","11.83"
"01.04.2021 08:37 - 01.04.2021 08:38","Surplus","15.59"
"01.04.2021 08:38 - 01.04.2021 08:39","Surplus","18.86"
"01.04.2021 08:39 - 01.04.2021 08:40","Surplus","40.46"
"01.04.2021 08:40 - 01.04.2021 08:41","Surplus","34.41"
"01.04.2021 08:41 - 01.04.2021 08:42","Surplus","54.64"
"01.04.2021 08:42 - 01.04.2021 08:43","Surplus","49.91"
"01.04.2021 08:43 - 01.04.2021 08:44","Surplus","67.36"
"01.04.2021 08:44 - 01.04.2021 08:45","Surplus","51.30"
"01.04.2021 08:45 - 01.04.2021 08:46","Surplus","108.56"
"01.04.2021 08:46 - 01.04.2021 08:47","Surplus","103.86"
"01.04.2021 08:47 - 01.04.2021 08:48","Surplus","110.03"
"01.04.2021 08:48 - 01.04.2021 08:49","Surplus","75.86"
"01.04.2021 08:49 - 01.04.2021 08:50","Surplus","117.22"
"01.04.2021 08:50 - 01.04.2021 08:51","Surplus","84.14"
"01.04.2021 08:51 - 01.04.2021 08:52","Surplus","77.63"
"01.04.2021 08:52 - 01.04.2021 08:53","Surplus","61.77"
"01.04.2021 08:53 - 01.04.2021 08:54","Surplus","69.70"
"01.04.2021 08:54 - 01.04.2021 08:55","Surplus","15.35"
"01.04.2021 08:55 - 01.04.2021 08:56","Deficit","82.71"
"01.04.2021 08:56 - 01.04.2021 08:57","Deficit","151.29"
"01.04.2021 08:57 - 01.04.2021 08:58","Deficit","122.00"
"01.04.2021 08:58 - 01.04.2021 08:59","Deficit","112.58"
"01.04.2021 08:59 - 01.04.2021 09:00","Deficit","71.21"
"01.04.2021 09:00 - 01.04.2021 09:01","Deficit","336.89"
"01.04.2021 09:01 - 01.04.2021 09:02","Deficit","557.49"
"01.04.2021 09:02 - 01.04.2021 09:03","Deficit","596.51"
"01.04.2021 09:03 - 01.04.2021 09:04","Deficit","624.53"
"01.04.2021 09:04 - 01.04.2021 09:05","Deficit","609.83"
"01.04.2021 09:05 - 01.04.2021 09:06","Deficit","632.71"
"01.04.2021 09:06 - 01.04.2021 09:07","Deficit","539.90"
"01.04.2021 09:07 - 01.04.2021 09:08","Deficit","339.59"
"01.04.2021 09:08 - 01.04.2021 09:09","Deficit","103.03"
"01.04.2021 09:09 - 01.04.2021 09:10","Deficit","78.72"
"01.04.2021 09:10 - 01.04.2021 09:11","Surplus","11.43"
"01.04.2021 09:11 - 01.04.2021 09:12","Surplus","94.73"
"01.04.2021 09:12 - 01.04.2021 09:13","Surplus","74.98"
"01.04.2021 09:13 - 01.04.2021 09:14","Surplus","165.45"
"01.04.2021 09:14 - 01.04.2021 09:15","Surplus","148.86"
"01.04.2021 09:15 - 01.04.2021 09:16","Surplus","90.45"
"01.04.2021 09:16 - 01.04.2021 09:17","Deficit","89.57"
"01.04.2021 09:17 - 01.04.2021 09:18","Deficit","187.21"
"01.04.2021 09:18 - 01.04.2021 09:19","Deficit","180.03"
"01.04.2021 09:19 - 01.04.2021 09:20","Deficit","182.20"
"01.04.2021 09:20 - 01.04.2021 09:21","Deficit","133.74"
"01.04.2021 09:21 - 01.04.2021 09:22","Deficit","45.32"
"01.04.2021 09:22 - 01.04.2021 09:23","Surplus","66.93"
"01.04.2021 09:23 - 01.04.2021 09:24","Surplus","107.15"
"01.04.2021 09:24 - 01.04.2021 09:25","Surplus","102.35"
"01.04.2021 09:25 - 01.04.2021 09:26","Surplus","90.94"
"01.04.2021 09:26 - 01.04.2021 09:27","Surplus","61.34"
"01.04.2021 09:27 - 01.04.2021 09:28","Surplus","51.04"
"01.04.2021 09:28 - 01.04.2021 09:29","Surplus","31.08"
"01.04.2021 09:29 - 01.04.2021 09:30","Surplus","35.03"
"01.04.2021 09:30 - 01.04.2021 09:31","Surplus","3.20"
"01.04.2021 09:31 - 01.04.2021 09:32","Surplus","1.54"
"01.04.2021 09:32 - 01.04.2021 09:33","Surplus","6.10"
"01.04.2021 09:33 - 01.04.2021 09:34","Surplus","1.83"
"01.04.2021 09:34 - 01.04.2021 09:35","Surplus","7.39"
"01.04.2021 09:35 - 01.04.2021 09:36","Surplus","15.30"
"01.04.2021 09:36 - 01.04.2021 09:37","Surplus","56.45"
"01.04.2021 09:37 - 01.04.2021 09:38","Surplus","55.25"
"01.04.2021 09:38 - 01.04.2021 09:39","Surplus","51.70"
"01.04.2021 09:39 - 01.04.2021 09:40","Surplus","119.64"
"01.04.2021 09:40 - 01.04.2021 09:41","Surplus","123.20"
"01.04.2021 09:41 - 01.04.2021 09:42","Surplus","115.26"
"01.04.2021 09:42 - 01.04.2021 09:43","Surplus","95.27"
"01.04.2021 09:43 - 01.04.2021 09:44","Surplus","95.87"
"01.04.2021 09:44 - 01.04.2021 09:45","Surplus","166.06"
"01.04.2021 09:45 - 01.04.2021 09:46","Surplus","202.06"
"01.04.2021 09:46 - 01.04.2021 09:47","Surplus","187.42"
"01.04.2021 09:47 - 01.04.2021 09:48","Surplus","155.20"
"01.04.2021 09:48 - 01.04.2021 09:49","Surplus","174.86"
"01.04.2021 09:49 - 01.04.2021 09:50","Surplus","156.56"
"01.04.2021 09:50 - 01.04.2021 09:51","Surplus","125.18"
"01.04.2021 09:51 - 01.04.2021 09:52","Surplus","99.81"
"01.04.2021 09:52 - 01.04.2021 09:53","Surplus","22.23"
"01.04.2021 09:53 - 01.04.2021 09:54","Deficit","5.17"
"01.04.2021 09:54 - 01.04.2021 09:55","Deficit","14.74"
"01.04.2021 09:55 - 01.04.2021 09:56","Deficit","92.39"
"01.04.2021 09:56 - 01.04.2021 09:57","Deficit","66.18"
"01.04.2021 09:57 - 01.04.2021 09:58","Deficit","36.15"
"01.04.2021 09:58 - 01.04.2021 09:59","Deficit","36.23"
"01.04.2021 09:59 - 01.04.2021 10:00","Deficit","55.81"
"01.04.2021 10:00 - 01.04.2021 10:01","Deficit","135.91"
"01.04.2021 10:01 - 01.04.2021 10:02","Deficit","131.49"
"01.04.2021 10:02 - 01.04.2021 10:03","Deficit","107.25"
"01.04.2021 10:03 - 01.04.2021 10:04","Deficit","85.31"
"01.04.2021 10:04 - 01.04.2021 10:05","Deficit","94.89"
"01.04.2021 10:05 - 01.04.2021 10:06","Deficit","93.87"
"01.04.2021 10:06 - 01.04.2021 10:07","Deficit","112.06"
"01.04.2021 10:07 - 01.04.2021 10:08","Deficit","75.75"
"01.04.2021 10:08 - 01.04.2021 10:09","Deficit","29.07"
"01.04.2021 10:09 - 01.04.2021 10:10","Deficit","12.74"
"01.04.2021 10:10 - 01.04.2021 10:11","Deficit","9.75"
"01.04.2021 10:11 - 01.04.2021 10:12","Surplus","11.18"
"01.04.2021 10:12 - 01.04.2021 10:13","Surplus","11.79"
"01.04.2021 10:13 - 01.04.2021 10:14","Surplus","49.92"
"01.04.2021 10:14 - 01.04.2021 10:15","Surplus","83.85"
"01.04.2021 10:15 - 01.04.2021 10:16","Surplus","102.23"
"01.04.2021 10:16 - 01.04.2021 10:17","Surplus","12.02"
"01.04.2021 10:17 - 01.04.2021 10:18","Surplus","2.01"
"01.04.2021 10:18 - 01.04.2021 10:19","Deficit","3.08"
"01.04.2021 10:19 - 01.04.2021 10:20","Surplus","1.58"
"01.04.2021 10:20 - 01.04.2021 10:21","Surplus","10.85"
"01.04.2021 10:21 - 01.04.2021 10:22","Surplus","62.58"
"01.04.2021 10:22 - 01.04.2021 10:23","Surplus","93.68"
"01.04.2021 10:23 - 01.04.2021 10:24","Surplus","113.55"
"01.04.2021 10:24 - 01.04.2021 10:25","Surplus","145.37"
"01.04.2021 10:25 - 01.04.2021 10:26","Surplus","143.80"
"01.04.2021 10:26 - 01.04.2021 10:27","Surplus","139.79"
"01.04.2021 10:27 - 01.04.2021 10:28","Surplus","110.64"
"01.04.2021 10:28 - 01.04.2021 10:29","Surplus","52.35"
"01.04.2021 10:29 - 01.04.2021 10:30","Surplus","20.72"
"01.04.2021 10:30 - 01.04.2021 10:31","Deficit","11.49"
"01.04.2021 10:31 - 01.04.2021 10:32","Deficit","83.20"
"01.04.2021 10:32 - 01.04.2021 10:33","Deficit","126.49"
"01.04.2021 10:33 - 01.04.2021 10:34","Deficit","53.90"
"01.04.2021 10:34 - 01.04.2021 10:35","Deficit","14.85"
"01.04.2021 10:35 - 01.04.2021 10:36","Deficit","20.90"
"01.04.2021 10:36 - 01.04.2021 10:37","Deficit","4.07"
"01.04.2021 10:37 - 01.04.2021 10:38","Surplus","3.26"
"01.04.2021 10:38 - 01.04.2021 10:39","Surplus","17.01"
"01.04.2021 10:39 - 01.04.2021 10:40","Deficit","2.67"
"01.04.2021 10:40 - 01.04.2021 10:41","Deficit","12.96"
"01.04.2021 10:41 - 01.04.2021 10:42","Surplus","18.11"
"01.04.2021 10:42 - 01.04.2021 10:43","Surplus","14.96"
"01.04.2021 10:43 - 01.04.2021 10:44","Surplus","16.90"
"01.04.2021 10:44 - 01.04.2021 10:45","Surplus","13.06"
"01.04.2021 10:45 - 01.04.2021 10:46","Surplus","83.83"
"01.04.2021 10:46 - 01.04.2021 10:47","Surplus","60.66"
"01.04.2021 10:47 - 01.04.2021 10:48","Surplus","63.63"
"01.04.2021 10:48 - 01.04.2021 10:49","Surplus","75.95"
"01.04.2021 10:49 - 01.04.2021 10:50","Surplus","81.13"
"01.04.2021 10:50 - 01.04.2021 10:51","Surplus","76.61"
"01.04.2021 10:51 - 01.04.2021 10:52","Surplus","35.06"
"01.04.2021 10:52 - 01.04.2021 10:53","Surplus","18.19"
"01.04.2021 10:53 - 01.04.2021 10:54","Deficit","18.87"
"01.04.2021 10:54 - 01.04.2021 10:55","Deficit","22.12"
"01.04.2021 10:55 - 01.04.2021 10:56","Deficit","27.52"
"01.04.2021 10:56 - 01.04.2021 10:57","Deficit","3.78"
"01.04.2021 10:57 - 01.04.2021 10:58","Surplus","16.68"
"01.04.2021 10:58 - 01.04.2021 10:59","Surplus","60.90"
"01.04.2021 10:59 - 01.04.2021 11:00","Surplus","110.60"
"01.04.2021 11:00 - 01.04.2021 11:01","Surplus","72.44"
"01.04.2021 11:01 - 01.04.2021 11:02","Surplus","83.99"
"01.04.2021 11:02 - 01.04.2021 11:03","Surplus","80.23"
"01.04.2021 11:03 - 01.04.2021 11:04","Surplus","74.69"
"01.04.2021 11:04 - 01.04.2021 11:05","Deficit","12.83"
"01.04.2021 11:05 - 01.04.2021 11:06","Deficit","47.39"
"01.04.2021 11:06 - 01.04.2021 11:07","Deficit","33.42"
"01.04.2021 11:07 - 01.04.2021 11:08","Deficit","15.33"
"01.04.2021 11:08 - 01.04.2021 11:09","Surplus","6.95"
"01.04.2021 11:09 - 01.04.2021 11:10","Surplus","16.59"
"01.04.2021 11:10 - 01.04.2021 11:11","Surplus","58.55"
"01.04.2021 11:11 - 01.04.2021 11:12","Surplus","113.42"
"01.04.2021 11:12 - 01.04.2021 11:13","Surplus","165.47"
"01.04.2021 11:13 - 01.04.2021 11:14","Surplus","189.39"
"01.04.2021 11:14 - 01.04.2021 11:15","Surplus","183.15"
"01.04.2021 11:15 - 01.04.2021 11:16","Surplus","290.19"
"01.04.2021 11:16 - 01.04.2021 11:17","Surplus","279.77"
"01.04.2021 11:17 - 01.04.2021 11:18","Surplus","266.26"
"01.04.2021 11:18 - 01.04.2021 11:19","Surplus","263.03"
"01.04.2021 11:19 - 01.04.2021 11:20","Surplus","199.91"
"01.04.2021 11:20 - 01.04.2021 11:21","Surplus","145.79"
"01.04.2021 11:21 - 01.04.2021 11:22","Surplus","132.54"
"01.04.2021 11:22 - 01.04.2021 11:23","Surplus","20.00"
"01.04.2021 11:23 - 01.04.2021 11:24","Deficit","120.89"
"01.04.2021 11:24 - 01.04.2021 11:25","Deficit","147.18"
"01.04.2021 11:25 - 01.04.2021 11:26","Deficit","152.67"
"01.04.2021 11:26 - 01.04.2021 11:27","Deficit","116.94"
"01.04.2021 11:27 - 01.04.2021 11:28","Deficit","67.73"
"01.04.2021 11:28 - 01.04.2021 11:29","Deficit","58.08"
"01.04.2021 11:29 - 01.04.2021 11:30","Surplus","38.34"
"01.04.2021 11:30 - 01.04.2021 11:31","Surplus","162.55"
"01.04.2021 11:31 - 01.04.2021 11:32","Surplus","183.92"
"01.04.2021 11:32 - 01.04.2021 11:33","Surplus","211.56"
"01.04.2021 11:33 - 01.04.2021 11:34","Surplus","290.70"
"01.04.2021 11:34 - 01.04.2021 11:35","Surplus","354.30"
"01.04.2021 11:35 - 01.04.2021 11:36","Surplus","342.15"
"01.04.2021 11:36 - 01.04.2021 11:37","Surplus","242.28"
"01.04.2021 11:37 - 01.04.2021 11:38","Surplus","223.21"
"01.04.2021 11:38 - 01.04.2021 11:39","Surplus","119.11"
"01.04.2021 11:39 - 01.04.2021 11:40","Surplus","18.05"
"01.04.2021 11:40 - 01.04.2021 11:41","Deficit","55.87"
"01.04.2021 11:41 - 01.04.2021 11:42","Deficit","70.19"
"01.04.2021 11:42 - 01.04.2021 11:43","Deficit","4.83"
"01.04.2021 11:43 - 01.04.2021 11:44","Deficit","8.70"
"01.04.2021 11:44 - 01.04.2021 11:45","Surplus","22.84"
"01.04.2021 11:45 - 01.04.2021 11:46","Surplus","210.01"
"01.04.2021 11:46 - 01.04.2021 11:47","Surplus","234.19"
"01.04.2021 11:47 - 01.04.2021 11:48","Surplus","256.37"
"01.04.2021 11:48 - 01.04.2021 11:49","Surplus","189.48"
"01.04.2021 11:49 - 01.04.2021 11:50","Surplus","122.56"
"01.04.2021 11:50 - 01.04.2021 11:51","Surplus","120.96"
"01.04.2021 11:51 - 01.04.2021 11:52","Surplus","60.21"
"01.04.2021 11:52 - 01.04.2021 11:53","Surplus","23.56"
"01.04.2021 11:53 - 01.04.2021 11:54","Deficit","46.70"
"01.04.2021 11:54 - 01.04.2021 11:55","Deficit","78.24"
"01.04.2021 11:55 - 01.04.2021 11:56","Deficit","103.11"
"01.04.2021 11:56 - 01.04.2021 11:57","Deficit","95.22"
