"Time (CET/CEST)","Situation - SCA|NL","Open loop control area error [MW] - SCA|NL"
"01.04.2021 11:57 - 01.04.2021 11:58","Deficit","125.35"
"01.04.2021 11:58 - 01.04.2021 11:59","Deficit","58.38"
"01.04.2021 11:59 - 01.04.2021 12:00","Deficit","51.70"
"01.04.2021 12:00 - 01.04.2021 12:01","Deficit","107.85"
"01.04.2021 12:01 - 01.04.2021 12:02","Deficit","127.57"
"01.04.2021 12:02 - 01.04.2021 12:03","Deficit","113.44"
"01.04.2021 12:03 - 01.04.2021 12:04","Deficit","120.42"
"01.04.2021 12:04 - 01.04.2021 12:05","Deficit","128.19"
"01.04.2021 12:05 - 01.04.2021 12:06","Deficit","113.93"
"01.04.2021 12:06 - 01.04.2021 12:07","Deficit","94.06"
"01.04.2021 12:07 - 01.04.2021 12:08","Deficit","65.43"
"01.04.2021 12:08 - 01.04.2021 12:09","Deficit","34.71"
"01.04.2021 12:09 - 01.04.2021 12:10","Deficit","52.61"
"01.04.2021 12:10 - 01.04.2021 12:11","Deficit","25.40"
"01.04.2021 12:11 - 01.04.2021 12:12","Surplus","22.46"
"01.04.2021 12:12 - 01.04.2021 12:13","Surplus","52.68"
"01.04.2021 12:13 - 01.04.2021 12:14","Surplus","64.75"
"01.04.2021 12:14 - 01.04.2021 12:15","Surplus","155.53"
"01.04.2021 12:15 - 01.04.2021 12:16","Surplus","190.04"
"01.04.2021 12:16 - 01.04.2021 12:17","Surplus","179.70"
"01.04.2021 12:17 - 01.04.2021 12:18","Surplus","162.47"
"01.04.2021 12:18 - 01.04.2021 12:19","Surplus","184.38"
"01.04.2021 12:19 - 01.04.2021 12:20","Surplus","222.70"
"01.04.2021 12:20 - 01.04.2021 12:21","Surplus","236.70"
"01.04.2021 12:21 - 01.04.2021 12:22","Surplus","254.36"
"01.04.2021 12:22 - 01.04.2021 12:23","Surplus","270.17"
"01.04.2021 12:23 - 01.04.2021 12:24","Surplus","238.99"
"01.04.2021 12:24 - 01.04.2021 12:25","Surplus","147.82"
"01.04.2021 12:25 - 01.04.2021 12:26","Surplus","74.97"
"01.04.2021 12:26 - 01.04.2021 12:27","Surplus","47.18"
"01.04.2021 12:27 - 01.04.2021 12:28","Deficit","7.76"
"01.04.2021 12:28 - 01.04.2021 12:29","Deficit","72.71"
"01.04.2021 12:29 - 01.04.2021 12:30","Deficit","42.16"
"01.04.2021 12:30 - 01.04.2021 12:31","Surplus","46.97"
"01.04.2021 12:31 - 01.04.2021 12:32","Surplus","44.59"
"01.04.2021 12:32 - 01.04.2021 12:33","Surplus","105.98"
"01.04.2021 12:33 - 01.04.2021 12:34","Surplus","155.73"
"01.04.2021 12:34 - 01.04.2021 12:35","Surplus","114.00"
"01.04.2021 12:35 - 01.04.2021 12:36","Surplus","125.28"
"01.04.2021 12:36 - 01.04.2021 12:37","Surplus","57.07"
"01.04.2021 12:37 - 01.04.2021 12:38","Deficit","10.55"
"01.04.2021 12:38 - 01.04.2021 12:39","Deficit","18.32"
"01.04.2021 12:39 - 01.04.2021 12:40","Surplus","66.05"
"01.04.2021 12:40 - 01.04.2021 12:41","Surplus","35.17"
"01.04.2021 12:41 - 01.04.2021 12:42","Surplus","25.84"
"01.04.2021 12:42 - 01.04.2021 12:43","Surplus","48.65"
"01.04.2021 12:43 - 01.04.2021 12:44","Surplus","66.71"
"01.04.2021 12:44 - 01.04.2021 12:45","Surplus","92.69"
"01.04.2021 12:45 - 01.04.2021 12:46","Surplus","153.70"
"01.04.2021 12:46 - 01.04.2021 12:47","Surplus","117.96"
"01.04.2021 12:47 - 01.04.2021 12:48","Surplus","90.71"
"01.04.2021 12:48 - 01.04.2021 12:49","Surplus","60.53"
"01.04.2021 12:49 - 01.04.2021 12:50","Surplus","20.50"
"01.04.2021 12:50 - 01.04.2021 12:51","Surplus","9.34"
"01.04.2021 12:51 - 01.04.2021 12:52","Deficit","13.04"
"01.04.2021 12:52 - 01.04.2021 12:53","Deficit","73.10"
"01.04.2021 12:53 - 01.04.2021 12:54","Deficit","89.65"
"01.04.2021 12:54 - 01.04.2021 12:55","Deficit","105.56"
"01.04.2021 12:55 - 01.04.2021 12:56","Deficit","113.94"
"01.04.2021 12:56 - 01.04.2021 12:57","Deficit","79.68"
"01.04.2021 12:57 - 01.04.2021 12:58","Deficit","70.19"
"01.04.2021 12:58 - 01.04.2021 12:59","Deficit","65.00"
"01.04.2021 12:59 - 01.04.2021 13:00","Deficit","58.93"
"01.04.2021 13:00 - 01.04.2021 13:01","Deficit","26.54"
"01.04.2021 13:01 - 01.04.2021 13:02","Deficit","18.46"
"01.04.2021 13:02 - 01.04.2021 13:03","Deficit","20.46"
"01.04.2021 13:03 - 01.04.2021 13:04","Surplus","22.87"
"01.04.2021 13:04 - 01.04.2021 13:05","Deficit","48.71"
"01.04.2021 13:05 - 01.04.2021 13:06","Deficit","56.63"
"01.04.2021 13:06 - 01.04.2021 13:07","Deficit","32.72"
"01.04.2021 13:07 - 01.04.2021 13:08","Surplus","6.05"
"01.04.2021 13:08 - 01.04.2021 13:09","Deficit","10.21"
"01.04.2021 13:09 - 01.04.2021 13:10","Deficit","64.82"
"01.04.2021 13:10 - 01.04.2021 13:11","Deficit","134.02"
"01.04.2021 13:11 - 01.04.2021 13:12","Deficit","78.02"
"01.04.2021 13:12 - 01.04.2021 13:13","Surplus","16.59"
"01.04.2021 13:13 - 01.04.2021 13:14","Deficit","18.57"
"01.04.2021 13:14 - 01.04.2021 13:15","Deficit","33.75"
"01.04.2021 13:15 - 01.04.2021 13:16","Surplus","22.75"
"01.04.2021 13:16 - 01.04.2021 13:17","Surplus","73.26"
"01.04.2021 13:17 - 01.04.2021 13:18","Surplus","115.07"
"01.04.2021 13:18 - 01.04.2021 13:19","Surplus","98.04"
"01.04.2021 13:19 - 01.04.2021 13:20","Surplus","42.02"
"01.04.2021 13:20 - 01.04.2021 13:21","Surplus","7.43"
"01.04.2021 13:21 - 01.04.2021 13:22","Surplus","29.98"
"01.04.2021 13:22 - 01.04.2021 13:23","Surplus","92.49"
"01.04.2021 13:23 - 01.04.2021 13:24","Surplus","39.71"
"01.04.2021 13:24 - 01.04.2021 13:25","Surplus","63.59"
"01.04.2021 13:25 - 01.04.2021 13:26","Surplus","15.68"
"01.04.2021 13:26 - 01.04.2021 13:27","Surplus","63.09"
"01.04.2021 13:27 - 01.04.2021 13:28","Surplus","58.69"
"01.04.2021 13:28 - 01.04.2021 13:29","Surplus","98.09"
"01.04.2021 13:29 - 01.04.2021 13:30","Surplus","98.54"
"01.04.2021 13:30 - 01.04.2021 13:31","Surplus","70.76"
"01.04.2021 13:31 - 01.04.2021 13:32","Surplus","84.74"
"01.04.2021 13:32 - 01.04.2021 13:33","Surplus","21.03"
"01.04.2021 13:33 - 01.04.2021 13:34","Surplus","31.11"
"01.04.2021 13:34 - 01.04.2021 13:35","Surplus","19.19"
"01.04.2021 13:35 - 01.04.2021 13:36","Surplus","18.67"
"01.04.2021 13:36 - 01.04.2021 13:37","Deficit","6.44"
"01.04.2021 13:37 - 01.04.2021 13:38","Surplus","4.03"
"01.04.2021 13:38 - 01.04.2021 13:39","Deficit","76.90"
"01.04.2021 13:39 - 01.04.2021 13:40","Deficit","39.91"
"01.04.2021 13:40 - 01.04.2021 13:41","Deficit","46.84"
"01.04.2021 13:41 - 01.04.2021 13:42","Deficit","70.29"
"01.04.2021 13:42 - 01.04.2021 13:43","Deficit","23.55"
"01.04.2021 13:43 - 01.04.2021 13:44","Surplus","29.96"
"01.04.2021 13:44 - 01.04.2021 13:45","Surplus","46.30"
"01.04.2021 13:45 - 01.04.2021 13:46","Surplus","97.30"
"01.04.2021 13:46 - 01.04.2021 13:47","Surplus","75.33"
"01.04.2021 13:47 - 01.04.2021 13:48","Surplus","92.71"
"01.04.2021 13:48 - 01.04.2021 13:49","Surplus","90.56"
"01.04.2021 13:49 - 01.04.2021 13:50","Surplus","105.98"
"01.04.2021 13:50 - 01.04.2021 13:51","Surplus","103.41"
"01.04.2021 13:51 - 01.04.2021 13:52","Surplus","72.32"
"01.04.2021 13:52 - 01.04.2021 13:53","Surplus","27.81"
"01.04.2021 13:53 - 01.04.2021 13:54","Deficit","1.78"
"01.04.2021 13:54 - 01.04.2021 13:55","Deficit","30.32"
"01.04.2021 13:55 - 01.04.2021 13:56","Deficit","32.50"
"01.04.2021 13:56 - 01.04.2021 13:57","Surplus","68.54"
"01.04.2021 13:57 - 01.04.2021 13:58","Surplus","103.70"
"01.04.2021 13:58 - 01.04.2021 13:59","Surplus","131.83"
"01.04.2021 13:59 - 01.04.2021 14:00","Surplus","180.95"
"01.04.2021 14:00 - 01.04.2021 14:01","Surplus","172.17"
"01.04.2021 14:01 - 01.04.2021 14:02","Surplus","99.54"
"01.04.2021 14:02 - 01.04.2021 14:03","Surplus","100.82"
"01.04.2021 14:03 - 01.04.2021 14:04","Surplus","26.44"
"01.04.2021 14:04 - 01.04.2021 14:05","Deficit","40.51"
"01.04.2021 14:05 - 01.04.2021 14:06","Deficit","39.17"
"01.04.2021 14:06 - 01.04.2021 14:07","Deficit","55.60"
"01.04.2021 14:07 - 01.04.2021 14:08","Deficit","54.95"
"01.04.2021 14:08 - 01.04.2021 14:09","Deficit","58.78"
"01.04.2021 14:09 - 01.04.2021 14:10","Deficit","86.04"
"01.04.2021 14:10 - 01.04.2021 14:11","Deficit","58.00"
"01.04.2021 14:11 - 01.04.2021 14:12","Deficit","42.14"
"01.04.2021 14:12 - 01.04.2021 14:13","Deficit","40.83"
"01.04.2021 14:13 - 01.04.2021 14:14","Deficit","42.62"
"01.04.2021 14:14 - 01.04.2021 14:15","Deficit","14.83"
"01.04.2021 14:15 - 01.04.2021 14:16","Surplus","100.95"
"01.04.2021 14:16 - 01.04.2021 14:17","Surplus","127.73"
"01.04.2021 14:17 - 01.04.2021 14:18","Surplus","167.39"
"01.04.2021 14:18 - 01.04.2021 14:19","Surplus","168.34"
"01.04.2021 14:19 - 01.04.2021 14:20","Surplus","139.66"
"01.04.2021 14:20 - 01.04.2021 14:21","Surplus","215.54"
"01.04.2021 14:21 - 01.04.2021 14:22","Surplus","198.26"
"01.04.2021 14:22 - 01.04.2021 14:23","Surplus","58.79"
"01.04.2021 14:23 - 01.04.2021 14:24","Surplus","32.12"
"01.04.2021 14:24 - 01.04.2021 14:25","Deficit","34.02"
"01.04.2021 14:25 - 01.04.2021 14:26","Deficit","75.58"
"01.04.2021 14:26 - 01.04.2021 14:27","Deficit","99.91"
"01.04.2021 14:27 - 01.04.2021 14:28","Deficit","76.39"
"01.04.2021 14:28 - 01.04.2021 14:29","Deficit","45.45"
"01.04.2021 14:29 - 01.04.2021 14:30","Deficit","33.08"
"01.04.2021 14:30 - 01.04.2021 14:31","Surplus","15.45"
"01.04.2021 14:31 - 01.04.2021 14:32","Deficit","21.41"
"01.04.2021 14:32 - 01.04.2021 14:33","Surplus","24.38"
"01.04.2021 14:33 - 01.04.2021 14:34","Surplus","71.78"
"01.04.2021 14:34 - 01.04.2021 14:35","Surplus","48.59"
"01.04.2021 14:35 - 01.04.2021 14:36","Surplus","42.10"
"01.04.2021 14:36 - 01.04.2021 14:37","Surplus","70.90"
"01.04.2021 14:37 - 01.04.2021 14:38","Surplus","102.80"
"01.04.2021 14:38 - 01.04.2021 14:39","Surplus","22.62"
"01.04.2021 14:39 - 01.04.2021 14:40","Deficit","9.41"
"01.04.2021 14:40 - 01.04.2021 14:41","Deficit","36.97"
"01.04.2021 14:41 - 01.04.2021 14:42","Deficit","22.48"
"01.04.2021 14:42 - 01.04.2021 14:43","Deficit","93.54"
"01.04.2021 14:43 - 01.04.2021 14:44","Deficit","72.07"
"01.04.2021 14:44 - 01.04.2021 14:45","Deficit","41.87"
"01.04.2021 14:45 - 01.04.2021 14:46","Deficit","10.73"
"01.04.2021 14:46 - 01.04.2021 14:47","Deficit","38.35"
"01.04.2021 14:47 - 01.04.2021 14:48","Deficit","40.92"
"01.04.2021 14:48 - 01.04.2021 14:49","Surplus","35.58"
"01.04.2021 14:49 - 01.04.2021 14:50","Deficit","65.73"
"01.04.2021 14:50 - 01.04.2021 14:51","Deficit","47.01"
"01.04.2021 14:51 - 01.04.2021 14:52","Deficit","33.75"
"01.04.2021 14:52 - 01.04.2021 14:53","Surplus","46.82"
"01.04.2021 14:53 - 01.04.2021 14:54","Surplus","76.93"
"01.04.2021 14:54 - 01.04.2021 14:55","Surplus","94.10"
"01.04.2021 14:55 - 01.04.2021 14:56","Surplus","59.87"
"01.04.2021 14:56 - 01.04.2021 14:57","Surplus","79.47"
"01.04.2021 14:57 - 01.04.2021 14:58","Surplus","78.23"
"01.04.2021 14:58 - 01.04.2021 14:59","Surplus","55.82"
"01.04.2021 14:59 - 01.04.2021 15:00","Deficit","6.35"
"01.04.2021 15:00 - 01.04.2021 15:01","Deficit","32.44"
"01.04.2021 15:01 - 01.04.2021 15:02","Deficit","14.43"
"01.04.2021 15:02 - 01.04.2021 15:03","Surplus","6.09"
"01.04.2021 15:03 - 01.04.2021 15:04","Deficit","27.55"
"01.04.2021 15:04 - 01.04.2021 15:05","Deficit","59.34"
"01.04.2021 15:05 - 01.04.2021 15:06","Deficit","25.40"
"01.04.2021 15:06 - 01.04.2021 15:07","Deficit","31.40"
"01.04.2021 15:07 - 01.04.2021 15:08","Surplus","8.56"
"01.04.2021 15:08 - 01.04.2021 15:09","Deficit","20.11"
"01.04.2021 15:09 - 01.04.2021 15:10","Surplus","3.37"
"01.04.2021 15:10 - 01.04.2021 15:11","Surplus","39.72"
"01.04.2021 15:11 - 01.04.2021 15:12","Surplus","37.64"
"01.04.2021 15:12 - 01.04.2021 15:13","Surplus","29.83"
"01.04.2021 15:13 - 01.04.2021 15:14","Surplus","1.00"
"01.04.2021 15:14 - 01.04.2021 15:15","Deficit","54.09"
"01.04.2021 15:15 - 01.04.2021 15:16","Surplus","0.32"
"01.04.2021 15:16 - 01.04.2021 15:17","Deficit","34.98"
"01.04.2021 15:17 - 01.04.2021 15:18","Deficit","83.90"
"01.04.2021 15:18 - 01.04.2021 15:19","Deficit","77.82"
"01.04.2021 15:19 - 01.04.2021 15:20","Deficit","55.37"
"01.04.2021 15:20 - 01.04.2021 15:21","Deficit","78.74"
"01.04.2021 15:21 - 01.04.2021 15:22","Deficit","75.62"
"01.04.2021 15:22 - 01.04.2021 15:23","Deficit","81.11"
"01.04.2021 15:23 - 01.04.2021 15:24","Deficit","49.23"
"01.04.2021 15:24 - 01.04.2021 15:25","Deficit","52.32"
"01.04.2021 15:25 - 01.04.2021 15:26","Deficit","64.19"
"01.04.2021 15:26 - 01.04.2021 15:27","Deficit","43.75"
"01.04.2021 15:27 - 01.04.2021 15:28","Deficit","23.61"
"01.04.2021 15:28 - 01.04.2021 15:29","Deficit","14.04"
"01.04.2021 15:29 - 01.04.2021 15:30","Deficit","9.98"
"01.04.2021 15:30 - 01.04.2021 15:31","Surplus","2.19"
"01.04.2021 15:31 - 01.04.2021 15:32","Surplus","4.04"
"01.04.2021 15:32 - 01.04.2021 15:33","Deficit","6.35"
"01.04.2021 15:33 - 01.04.2021 15:34","Deficit","1.18"
"01.04.2021 15:34 - 01.04.2021 15:35","Deficit","24.09"
"01.04.2021 15:35 - 01.04.2021 15:36","Deficit","9.17"
"01.04.2021 15:36 - 01.04.2021 15:37","Deficit","2.32"
"01.04.2021 15:37 - 01.04.2021 15:38","Surplus","5.31"
"01.04.2021 15:38 - 01.04.2021 15:39","Deficit","27.27"
"01.04.2021 15:39 - 01.04.2021 15:40","Deficit","17.21"
"01.04.2021 15:40 - 01.04.2021 15:41","Deficit","19.88"
"01.04.2021 15:41 - 01.04.2021 15:42","Deficit","57.84"
"01.04.2021 15:42 - 01.04.2021 15:43","Deficit","44.74"
"01.04.2021 15:43 - 01.04.2021 15:44","Deficit","4.54"
"01.04.2021 15:44 - 01.04.2021 15:45","Surplus","19.52"
"01.04.2021 15:45 - 01.04.2021 15:46","Deficit","5.82"
"01.04.2021 15:46 - 01.04.2021 15:47","Surplus","13.25"
"01.04.2021 15:47 - 01.04.2021 15:48","Surplus","3.46"
"01.04.2021 15:48 - 01.04.2021 15:49","Deficit","0.88"
"01.04.2021 15:49 - 01.04.2021 15:50","Surplus","6.64"
"01.04.2021 15:50 - 01.04.2021 15:51","Surplus","6.50"
"01.04.2021 15:51 - 01.04.2021 15:52","Deficit","9.36"
"01.04.2021 15:52 - 01.04.2021 15:53","Deficit","25.96"
"01.04.2021 15:53 - 01.04.2021 15:54","Deficit","21.21"
"01.04.2021 15:54 - 01.04.2021 15:55","Deficit","23.54"
"01.04.2021 15:55 - 01.04.2021 15:56","Deficit","17.51"
"01.04.2021 15:56 - 01.04.2021 15:57","Surplus","22.79"
"01.04.2021 15:57 - 01.04.2021 15:58","Surplus","26.30"
"01.04.2021 15:58 - 01.04.2021 15:59","Surplus","18.41"
"01.04.2021 15:59 - 01.04.2021 16:00","Surplus","14.41"
"01.04.2021 16:00 - 01.04.2021 16:01","Surplus","9.99"
"01.04.2021 16:01 - 01.04.2021 16:02","Surplus","6.37"
"01.04.2021 16:02 - 01.04.2021 16:03","Surplus","23.65"
"01.04.2021 16:03 - 01.04.2021 16:04","Surplus","38.37"
"01.04.2021 16:04 - 01.04.2021 16:05","Surplus","15.30"
"01.04.2021 16:05 - 01.04.2021 16:06","Surplus","8.44"
"01.04.2021 16:06 - 01.04.2021 16:07","Surplus","27.43"
"01.04.2021 16:07 - 01.04.2021 16:08","Surplus","69.99"
"01.04.2021 16:08 - 01.04.2021 16:09","Surplus","99.33"
"01.04.2021 16:09 - 01.04.2021 16:10","Surplus","78.85"
"01.04.2021 16:10 - 01.04.2021 16:11","Deficit","3.81"
"01.04.2021 16:11 - 01.04.2021 16:12","Deficit","3.71"
"01.04.2021 16:12 - 01.04.2021 16:13","Deficit","0.67"
"01.04.2021 16:13 - 01.04.2021 16:14","Surplus","2.20"
"01.04.2021 16:14 - 01.04.2021 16:15","Surplus","5.81"
"01.04.2021 16:15 - 01.04.2021 16:16","Surplus","1.56"
"01.04.2021 16:16 - 01.04.2021 16:17","Deficit","1.51"
"01.04.2021 16:17 - 01.04.2021 16:18","Surplus","1.02"
"01.04.2021 16:18 - 01.04.2021 16:19","Deficit","4.11"
"01.04.2021 16:19 - 01.04.2021 16:20","Surplus","5.76"
"01.04.2021 16:20 - 01.04.2021 16:21","Deficit","9.92"
"01.04.2021 16:21 - 01.04.2021 16:22","Deficit","2.27"
"01.04.2021 16:22 - 01.04.2021 16:23","Deficit","3.24"
"01.04.2021 16:23 - 01.04.2021 16:24","Surplus","7.62"
"01.04.2021 16:24 - 01.04.2021 16:25","Deficit","5.12"
"01.04.2021 16:25 - 01.04.2021 16:26","Deficit","5.50"
"01.04.2021 16:26 - 01.04.2021 16:27","Deficit","1.04"
"01.04.2021 16:27 - 01.04.2021 16:28","Deficit","0.09"
"01.04.2021 16:28 - 01.04.2021 16:29","Surplus","4.61"
"01.04.2021 16:29 - 01.04.2021 16:30","Surplus","2.61"
"01.04.2021 16:30 - 01.04.2021 16:31","Deficit","3.12"
"01.04.2021 16:31 - 01.04.2021 16:32","Surplus","9.44"
"01.04.2021 16:32 - 01.04.2021 16:33","Surplus","7.72"
"01.04.2021 16:33 - 01.04.2021 16:34","Surplus","7.96"
"01.04.2021 16:34 - 01.04.2021 16:35","Surplus","15.48"
"01.04.2021 16:35 - 01.04.2021 16:36","Deficit","7.31"
"01.04.2021 16:36 - 01.04.2021 16:37","Deficit","2.55"
"01.04.2021 16:37 - 01.04.2021 16:38","Surplus","4.43"
"01.04.2021 16:38 - 01.04.2021 16:39","Surplus","1.98"
"01.04.2021 16:39 - 01.04.2021 16:40","Deficit","3.95"
"01.04.2021 16:40 - 01.04.2021 16:41","Surplus","6.37"
"01.04.2021 16:41 - 01.04.2021 16:42","Surplus","1.01"
"01.04.2021 16:42 - 01.04.2021 16:43","Surplus","0.16"
"01.04.2021 16:43 - 01.04.2021 16:44","Deficit","5.11"
"01.04.2021 16:44 - 01.04.2021 16:45","Deficit","1.12"
"01.04.2021 16:45 - 01.04.2021 16:46","Surplus","3.89"
"01.04.2021 16:46 - 01.04.2021 16:47","Deficit","3.12"
"01.04.2021 16:47 - 01.04.2021 16:48","Deficit","0.31"
"01.04.2021 16:48 - 01.04.2021 16:49","Deficit","0.43"
"01.04.2021 16:49 - 01.04.2021 16:50","Deficit","2.63"
"01.04.2021 16:50 - 01.04.2021 16:51","Deficit","5.71"
"01.04.2021 16:51 - 01.04.2021 16:52","Deficit","7.36"
"01.04.2021 16:52 - 01.04.2021 16:53","Deficit","2.17"
"01.04.2021 16:53 - 01.04.2021 16:54","Surplus","6.41"
"01.04.2021 16:54 - 01.04.2021 16:55","Deficit","8.60"
"01.04.2021 16:55 - 01.04.2021 16:56","Surplus","12.50"
"01.04.2021 16:56 - 01.04.2021 16:57","Surplus","12.80"
"01.04.2021 16:57 - 01.04.2021 16:58","Surplus","63.34"
"01.04.2021 16:58 - 01.04.2021 16:59","Surplus","98.96"
"01.04.2021 16:59 - 01.04.2021 17:00","Surplus","193.62"
"01.04.2021 17:00 - 01.04.2021 17:01","Surplus","184.82"
"01.04.2021 17:01 - 01.04.2021 17:02","Surplus","240.60"
"01.04.2021 17:02 - 01.04.2021 17:03","Surplus","308.57"
"01.04.2021 17:03 - 01.04.2021 17:04","Surplus","379.20"
"01.04.2021 17:04 - 01.04.2021 17:05","Surplus","384.80"
"01.04.2021 17:05 - 01.04.2021 17:06","Surplus","378.27"
"01.04.2021 17:06 - 01.04.2021 17:07","Surplus","248.95"
"01.04.2021 17:07 - 01.04.2021 17:08","Surplus","117.63"
"01.04.2021 17:08 - 01.04.2021 17:09","Surplus","4.74"
"01.04.2021 17:09 - 01.04.2021 17:10","Deficit","98.53"
"01.04.2021 17:10 - 01.04.2021 17:11","Deficit","212.11"
"01.04.2021 17:11 - 01.04.2021 17:12","Deficit","166.12"
"01.04.2021 17:12 - 01.04.2021 17:13","Deficit","110.24"
"01.04.2021 17:13 - 01.04.2021 17:14","Deficit","84.54"
"01.04.2021 17:14 - 01.04.2021 17:15","Deficit","31.31"
"01.04.2021 17:15 - 01.04.2021 17:16","Surplus","2.17"
"01.04.2021 17:16 - 01.04.2021 17:17","Deficit","7.64"
"01.04.2021 17:17 - 01.04.2021 17:18","Surplus","8.61"
"01.04.2021 17:18 - 01.04.2021 17:19","Surplus","34.73"
"01.04.2021 17:19 - 01.04.2021 17:20","Surplus","42.85"
"01.04.2021 17:20 - 01.04.2021 17:21","Surplus","51.27"
"01.04.2021 17:21 - 01.04.2021 17:22","Surplus","5.41"
"01.04.2021 17:22 - 01.04.2021 17:23","Surplus","78.33"
"01.04.2021 17:23 - 01.04.2021 17:24","Surplus","77.36"
"01.04.2021 17:24 - 01.04.2021 17:25","Surplus","62.58"
"01.04.2021 17:25 - 01.04.2021 17:26","Deficit","12.83"
"01.04.2021 17:26 - 01.04.2021 17:27","Surplus","5.33"
"01.04.2021 17:27 - 01.04.2021 17:28","Deficit","31.42"
"01.04.2021 17:28 - 01.04.2021 17:29","Deficit","50.76"
"01.04.2021 17:29 - 01.04.2021 17:30","Deficit","41.57"
"01.04.2021 17:30 - 01.04.2021 17:31","Deficit","34.38"
"01.04.2021 17:31 - 01.04.2021 17:32","Deficit","6.15"
"01.04.2021 17:32 - 01.04.2021 17:33","Deficit","0.84"
"01.04.2021 17:33 - 01.04.2021 17:34","Surplus","3.57"
"01.04.2021 17:34 - 01.04.2021 17:35","Deficit","0.69"
"01.04.2021 17:35 - 01.04.2021 17:36","Deficit","1.38"
"01.04.2021 17:36 - 01.04.2021 17:37","Deficit","4.78"
"01.04.2021 17:37 - 01.04.2021 17:38","Deficit","6.75"
"01.04.2021 17:38 - 01.04.2021 17:39","Deficit","8.37"
"01.04.2021 17:39 - 01.04.2021 17:40","Deficit","9.78"
"01.04.2021 17:40 - 01.04.2021 17:41","Deficit","4.50"
"01.04.2021 17:41 - 01.04.2021 17:42","Deficit","3.72"
"01.04.2021 17:42 - 01.04.2021 17:43","Deficit","0.30"
"01.04.2021 17:43 - 01.04.2021 17:44","Deficit","1.80"
"01.04.2021 17:44 - 01.04.2021 17:45","Deficit","3.23"
"01.04.2021 17:45 - 01.04.2021 17:46","Deficit","9.35"
"01.04.2021 17:46 - 01.04.2021 17:47","Surplus","11.79"
"01.04.2021 17:47 - 01.04.2021 17:48","Surplus","0.56"
"01.04.2021 17:48 - 01.04.2021 17:49","Surplus","10.59"
"01.04.2021 17:49 - 01.04.2021 17:50","Deficit","2.67"
"01.04.2021 17:50 - 01.04.2021 17:51","Deficit","2.53"
"01.04.2021 17:51 - 01.04.2021 17:52","Surplus","4.46"
"01.04.2021 17:52 - 01.04.2021 17:53","Deficit","11.87"
"01.04.2021 17:53 - 01.04.2021 17:54","Deficit","3.93"
"01.04.2021 17:54 - 01.04.2021 17:55","Deficit","6.53"
"01.04.2021 17:55 - 01.04.2021 17:56","Deficit","7.72"
"01.04.2021 17:56 - 01.04.2021 17:57","Deficit","2.11"
