"Time (CET/CEST)","Situation - SCA|NL","Open loop control area error [MW] - SCA|NL"
"01.04.2021 17:57 - 01.04.2021 17:58","Deficit","1.79"
"01.04.2021 17:58 - 01.04.2021 17:59","Deficit","3.37"
"01.04.2021 17:59 - 01.04.2021 18:00","Deficit","8.18"
"01.04.2021 18:00 - 01.04.2021 18:01","Deficit","10.40"
"01.04.2021 18:01 - 01.04.2021 18:02","Surplus","2.59"
"01.04.2021 18:02 - 01.04.2021 18:03","Deficit","1.59"
"01.04.2021 18:03 - 01.04.2021 18:04","Deficit","0.60"
"01.04.2021 18:04 - 01.04.2021 18:05","Deficit","6.14"
"01.04.2021 18:05 - 01.04.2021 18:06","Surplus","2.18"
"01.04.2021 18:06 - 01.04.2021 18:07","Surplus","0.50"
"01.04.2021 18:07 - 01.04.2021 18:08","Surplus","12.62"
"01.04.2021 18:08 - 01.04.2021 18:09","Deficit","2.39"
"01.04.2021 18:09 - 01.04.2021 18:10","Surplus","3.24"
"01.04.2021 18:10 - 01.04.2021 18:11","Surplus","10.57"
"01.04.2021 18:11 - 01.04.2021 18:12","Surplus","24.86"
"01.04.2021 18:12 - 01.04.2021 18:13","Surplus","49.23"
"01.04.2021 18:13 - 01.04.2021 18:14","Surplus","58.02"
"01.04.2021 18:14 - 01.04.2021 18:15","Surplus","47.70"
"01.04.2021 18:15 - 01.04.2021 18:16","Surplus","2.60"
"01.04.2021 18:16 - 01.04.2021 18:17","Deficit","0.70"
"01.04.2021 18:17 - 01.04.2021 18:18","Surplus","8.66"
"01.04.2021 18:18 - 01.04.2021 18:19","Deficit","6.31"
"01.04.2021 18:19 - 01.04.2021 18:20","Surplus","7.52"
"01.04.2021 18:20 - 01.04.2021 18:21","Deficit","1.05"
"01.04.2021 18:21 - 01.04.2021 18:22","Deficit","4.21"
"01.04.2021 18:22 - 01.04.2021 18:23","Deficit","6.40"
"01.04.2021 18:23 - 01.04.2021 18:24","Deficit","0.17"
"01.04.2021 18:24 - 01.04.2021 18:25","Deficit","4.51"
"01.04.2021 18:25 - 01.04.2021 18:26","Surplus","1.25"
"01.04.2021 18:26 - 01.04.2021 18:27","Surplus","3.51"
"01.04.2021 18:27 - 01.04.2021 18:28","Deficit","2.83"
"01.04.2021 18:28 - 01.04.2021 18:29","Surplus","6.77"
"01.04.2021 18:29 - 01.04.2021 18:30","Surplus","2.82"
"01.04.2021 18:30 - 01.04.2021 18:31","Deficit","1.41"
"01.04.2021 18:31 - 01.04.2021 18:32","Surplus","2.53"
"01.04.2021 18:32 - 01.04.2021 18:33","Surplus","4.88"
"01.04.2021 18:33 - 01.04.2021 18:34","Surplus","17.04"
"01.04.2021 18:34 - 01.04.2021 18:35","Surplus","9.98"
"01.04.2021 18:35 - 01.04.2021 18:36","Deficit","3.79"
"01.04.2021 18:36 - 01.04.2021 18:37","Deficit","4.39"
"01.04.2021 18:37 - 01.04.2021 18:38","Deficit","1.85"
"01.04.2021 18:38 - 01.04.2021 18:39","Deficit","8.27"
"01.04.2021 18:39 - 01.04.2021 18:40","Deficit","20.49"
"01.04.2021 18:40 - 01.04.2021 18:41","Deficit","11.47"
"01.04.2021 18:41 - 01.04.2021 18:42","Deficit","14.64"
"01.04.2021 18:42 - 01.04.2021 18:43","Deficit","27.28"
"01.04.2021 18:43 - 01.04.2021 18:44","Deficit","48.00"
"01.04.2021 18:44 - 01.04.2021 18:45","Deficit","70.27"
"01.04.2021 18:45 - 01.04.2021 18:46","Deficit","35.23"
"01.04.2021 18:46 - 01.04.2021 18:47","Deficit","63.96"
"01.04.2021 18:47 - 01.04.2021 18:48","Deficit","57.12"
"01.04.2021 18:48 - 01.04.2021 18:49","Deficit","11.45"
"01.04.2021 18:49 - 01.04.2021 18:50","Deficit","33.42"
"01.04.2021 18:50 - 01.04.2021 18:51","Deficit","29.57"
"01.04.2021 18:51 - 01.04.2021 18:52","Deficit","37.39"
"01.04.2021 18:52 - 01.04.2021 18:53","Deficit","57.13"
"01.04.2021 18:53 - 01.04.2021 18:54","Deficit","46.48"
"01.04.2021 18:54 - 01.04.2021 18:55","Deficit","15.62"
"01.04.2021 18:55 - 01.04.2021 18:56","Deficit","34.27"
"01.04.2021 18:56 - 01.04.2021 18:57","Deficit","14.67"
"01.04.2021 18:57 - 01.04.2021 18:58","Surplus","0.77"
"01.04.2021 18:58 - 01.04.2021 18:59","Surplus","21.51"
"01.04.2021 18:59 - 01.04.2021 19:00","Surplus","14.79"
"01.04.2021 19:00 - 01.04.2021 19:01","Surplus","20.55"
"01.04.2021 19:01 - 01.04.2021 19:02","Surplus","60.89"
"01.04.2021 19:02 - 01.04.2021 19:03","Surplus","98.72"
"01.04.2021 19:03 - 01.04.2021 19:04","Surplus","149.68"
"01.04.2021 19:04 - 01.04.2021 19:05","Surplus","133.89"
"01.04.2021 19:05 - 01.04.2021 19:06","Surplus","89.82"
"01.04.2021 19:06 - 01.04.2021 19:07","Surplus","67.47"
"01.04.2021 19:07 - 01.04.2021 19:08","Surplus","17.56"
"01.04.2021 19:08 - 01.04.2021 19:09","Surplus","12.78"
"01.04.2021 19:09 - 01.04.2021 19:10","Deficit","11.76"
"01.04.2021 19:10 - 01.04.2021 19:11","Deficit","35.23"
"01.04.2021 19:11 - 01.04.2021 19:12","Deficit","48.78"
"01.04.2021 19:12 - 01.04.2021 19:13","Deficit","57.32"
"01.04.2021 19:13 - 01.04.2021 19:14","Deficit","27.66"
"01.04.2021 19:14 - 01.04.2021 19:15","Surplus","6.29"
"01.04.2021 19:15 - 01.04.2021 19:16","Deficit","2.67"
"01.04.2021 19:16 - 01.04.2021 19:17","Surplus","15.85"
"01.04.2021 19:17 - 01.04.2021 19:18","Surplus","1.31"
"01.04.2021 19:18 - 01.04.2021 19:19","Deficit","0.04"
"01.04.2021 19:19 - 01.04.2021 19:20","Deficit","11.49"
"01.04.2021 19:20 - 01.04.2021 19:21","Surplus","1.56"
"01.04.2021 19:21 - 01.04.2021 19:22","Deficit","0.62"
"01.04.2021 19:22 - 01.04.2021 19:23","Deficit","3.60"
"01.04.2021 19:23 - 01.04.2021 19:24","Surplus","5.81"
"01.04.2021 19:24 - 01.04.2021 19:25","Deficit","10.86"
"01.04.2021 19:25 - 01.04.2021 19:26","Deficit","4.62"
"01.04.2021 19:26 - 01.04.2021 19:27","Deficit","15.68"
"01.04.2021 19:27 - 01.04.2021 19:28","Surplus","1.18"
"01.04.2021 19:28 - 01.04.2021 19:29","Deficit","7.73"
"01.04.2021 19:29 - 01.04.2021 19:30","Deficit","3.35"
"01.04.2021 19:30 - 01.04.2021 19:31","Surplus","4.68"
"01.04.2021 19:31 - 01.04.2021 19:32","Deficit","0.30"
"01.04.2021 19:32 - 01.04.2021 19:33","Surplus","3.07"
"01.04.2021 19:33 - 01.04.2021 19:34","Surplus","7.01"
"01.04.2021 19:34 - 01.04.2021 19:35","Deficit","5.86"
"01.04.2021 19:35 - 01.04.2021 19:36","Deficit","7.58"
"01.04.2021 19:36 - 01.04.2021 19:37","Surplus","6.26"
"01.04.2021 19:37 - 01.04.2021 19:38","Surplus","6.55"
"01.04.2021 19:38 - 01.04.2021 19:39","Deficit","1.94"
"01.04.2021 19:39 - 01.04.2021 19:40","Deficit","8.17"
"01.04.2021 19:40 - 01.04.2021 19:41","Deficit","33.56"
"01.04.2021 19:41 - 01.04.2021 19:42","Deficit","6.98"
"01.04.2021 19:42 - 01.04.2021 19:43","Deficit","26.68"
"01.04.2021 19:43 - 01.04.2021 19:44","Deficit","47.19"
"01.04.2021 19:44 - 01.04.2021 19:45","Deficit","6.80"
"01.04.2021 19:45 - 01.04.2021 19:46","Deficit","4.33"
"01.04.2021 19:46 - 01.04.2021 19:47","Deficit","4.40"
"01.04.2021 19:47 - 01.04.2021 19:48","Deficit","32.52"
"01.04.2021 19:48 - 01.04.2021 19:49","Deficit","51.50"
"01.04.2021 19:49 - 01.04.2021 19:50","Deficit","63.45"
"01.04.2021 19:50 - 01.04.2021 19:51","Deficit","111.85"
"01.04.2021 19:51 - 01.04.2021 19:52","Deficit","70.33"
"01.04.2021 19:52 - 01.04.2021 19:53","Deficit","30.78"
"01.04.2021 19:53 - 01.04.2021 19:54","Surplus","17.28"
"01.04.2021 19:54 - 01.04.2021 19:55","Surplus","0.81"
"01.04.2021 19:55 - 01.04.2021 19:56","Deficit","54.23"
"01.04.2021 19:56 - 01.04.2021 19:57","Deficit","18.49"
"01.04.2021 19:57 - 01.04.2021 19:58","Deficit","2.06"
"01.04.2021 19:58 - 01.04.2021 19:59","Surplus","45.42"
"01.04.2021 19:59 - 01.04.2021 20:00","Surplus","55.01"
"01.04.2021 20:00 - 01.04.2021 20:01","Surplus","28.46"
"01.04.2021 20:01 - 01.04.2021 20:02","Surplus","25.87"
"01.04.2021 20:02 - 01.04.2021 20:03","Surplus","25.08"
"01.04.2021 20:03 - 01.04.2021 20:04","Surplus","22.05"
"01.04.2021 20:04 - 01.04.2021 20:05","Surplus","5.98"
"01.04.2021 20:05 - 01.04.2021 20:06","Surplus","7.64"
"01.04.2021 20:06 - 01.04.2021 20:07","Surplus","19.66"
"01.04.2021 20:07 - 01.04.2021 20:08","Surplus","91.23"
"01.04.2021 20:08 - 01.04.2021 20:09","Surplus","76.80"
"01.04.2021 20:09 - 01.04.2021 20:10","Surplus","17.92"
"01.04.2021 20:10 - 01.04.2021 20:11","Surplus","14.83"
"01.04.2021 20:11 - 01.04.2021 20:12","Surplus","16.36"
"01.04.2021 20:12 - 01.04.2021 20:13","Deficit","3.62"
"01.04.2021 20:13 - 01.04.2021 20:14","Deficit","3.54"
"01.04.2021 20:14 - 01.04.2021 20:15","Surplus","8.17"
"01.04.2021 20:15 - 01.04.2021 20:16","Deficit","7.16"
"01.04.2021 20:16 - 01.04.2021 20:17","Deficit","14.39"
"01.04.2021 20:17 - 01.04.2021 20:18","Surplus","7.02"
"01.04.2021 20:18 - 01.04.2021 20:19","Deficit","2.99"
"01.04.2021 20:19 - 01.04.2021 20:20","Deficit","1.67"
"01.04.2021 20:20 - 01.04.2021 20:21","Surplus","1.66"
"01.04.2021 20:21 - 01.04.2021 20:22","Surplus","1.77"
"01.04.2021 20:22 - 01.04.2021 20:23","Deficit","3.08"
"01.04.2021 20:23 - 01.04.2021 20:24","Deficit","8.12"
"01.04.2021 20:24 - 01.04.2021 20:25","Deficit","18.51"
"01.04.2021 20:25 - 01.04.2021 20:26","Surplus","3.60"
"01.04.2021 20:26 - 01.04.2021 20:27","Surplus","4.55"
"01.04.2021 20:27 - 01.04.2021 20:28","Deficit","4.32"
"01.04.2021 20:28 - 01.04.2021 20:29","Deficit","6.45"
"01.04.2021 20:29 - 01.04.2021 20:30","Deficit","47.84"
"01.04.2021 20:30 - 01.04.2021 20:31","Deficit","75.52"
"01.04.2021 20:31 - 01.04.2021 20:32","Deficit","71.89"
"01.04.2021 20:32 - 01.04.2021 20:33","Deficit","49.88"
"01.04.2021 20:33 - 01.04.2021 20:34","Deficit","8.47"
"01.04.2021 20:34 - 01.04.2021 20:35","Deficit","0.52"
"01.04.2021 20:35 - 01.04.2021 20:36","Deficit","42.81"
"01.04.2021 20:36 - 01.04.2021 20:37","Deficit","52.90"
"01.04.2021 20:37 - 01.04.2021 20:38","Surplus","0.81"
"01.04.2021 20:38 - 01.04.2021 20:39","Deficit","3.28"
"01.04.2021 20:39 - 01.04.2021 20:40","Surplus","1.38"
"01.04.2021 20:40 - 01.04.2021 20:41","Surplus","6.69"
"01.04.2021 20:41 - 01.04.2021 20:42","Deficit","2.73"
"01.04.2021 20:42 - 01.04.2021 20:43","Surplus","11.16"
"01.04.2021 20:43 - 01.04.2021 20:44","Surplus","6.86"
"01.04.2021 20:44 - 01.04.2021 20:45","Surplus","1.47"
"01.04.2021 20:45 - 01.04.2021 20:46","Surplus","3.67"
"01.04.2021 20:46 - 01.04.2021 20:47","Surplus","4.91"
"01.04.2021 20:47 - 01.04.2021 20:48","Surplus","4.97"
"01.04.2021 20:48 - 01.04.2021 20:49","Surplus","0.74"
"01.04.2021 20:49 - 01.04.2021 20:50","Deficit","1.37"
"01.04.2021 20:50 - 01.04.2021 20:51","Surplus","1.53"
"01.04.2021 20:51 - 01.04.2021 20:52","Surplus","5.96"
"01.04.2021 20:52 - 01.04.2021 20:53","Surplus","4.42"
"01.04.2021 20:53 - 01.04.2021 20:54","Deficit","7.13"
"01.04.2021 20:54 - 01.04.2021 20:55","Surplus","6.86"
"01.04.2021 20:55 - 01.04.2021 20:56","Surplus","4.53"
"01.04.2021 20:56 - 01.04.2021 20:57","Surplus","5.48"
"01.04.2021 20:57 - 01.04.2021 20:58","Surplus","3.02"
"01.04.2021 20:58 - 01.04.2021 20:59","Deficit","3.30"
"01.04.2021 20:59 - 01.04.2021 21:00","Deficit","2.36"
"01.04.2021 21:00 - 01.04.2021 21:01","Surplus","7.01"
"01.04.2021 21:01 - 01.04.2021 21:02","Deficit","10.32"
"01.04.2021 21:02 - 01.04.2021 21:03","Deficit","39.93"
"01.04.2021 21:03 - 01.04.2021 21:04","Deficit","113.89"
"01.04.2021 21:04 - 01.04.2021 21:05","Deficit","195.03"
"01.04.2021 21:05 - 01.04.2021 21:06","Deficit","158.85"
"01.04.2021 21:06 - 01.04.2021 21:07","Deficit","160.51"
"01.04.2021 21:07 - 01.04.2021 21:08","Deficit","90.26"
"01.04.2021 21:08 - 01.04.2021 21:09","Deficit","45.48"
"01.04.2021 21:09 - 01.04.2021 21:10","Surplus","42.20"
"01.04.2021 21:10 - 01.04.2021 21:11","Surplus","75.39"
"01.04.2021 21:11 - 01.04.2021 21:12","Surplus","81.52"
"01.04.2021 21:12 - 01.04.2021 21:13","Surplus","53.89"
"01.04.2021 21:13 - 01.04.2021 21:14","Surplus","20.49"
"01.04.2021 21:14 - 01.04.2021 21:15","Surplus","13.55"
"01.04.2021 21:15 - 01.04.2021 21:16","Deficit","9.21"
"01.04.2021 21:16 - 01.04.2021 21:17","Deficit","6.07"
"01.04.2021 21:17 - 01.04.2021 21:18","Deficit","67.77"
"01.04.2021 21:18 - 01.04.2021 21:19","Deficit","163.20"
"01.04.2021 21:19 - 01.04.2021 21:20","Deficit","209.44"
"01.04.2021 21:20 - 01.04.2021 21:21","Deficit","181.56"
"01.04.2021 21:21 - 01.04.2021 21:22","Deficit","95.10"
"01.04.2021 21:22 - 01.04.2021 21:23","Deficit","85.69"
"01.04.2021 21:23 - 01.04.2021 21:24","Deficit","48.88"
"01.04.2021 21:24 - 01.04.2021 21:25","Deficit","11.84"
"01.04.2021 21:25 - 01.04.2021 21:26","Surplus","0.17"
"01.04.2021 21:26 - 01.04.2021 21:27","Surplus","70.38"
"01.04.2021 21:27 - 01.04.2021 21:28","Surplus","70.79"
"01.04.2021 21:28 - 01.04.2021 21:29","Surplus","64.45"
"01.04.2021 21:29 - 01.04.2021 21:30","Surplus","41.94"
"01.04.2021 21:30 - 01.04.2021 21:31","Surplus","23.32"
"01.04.2021 21:31 - 01.04.2021 21:32","Surplus","12.32"
"01.04.2021 21:32 - 01.04.2021 21:33","Surplus","11.67"
"01.04.2021 21:33 - 01.04.2021 21:34","Surplus","5.34"
"01.04.2021 21:34 - 01.04.2021 21:35","Surplus","7.08"
"01.04.2021 21:35 - 01.04.2021 21:36","Surplus","9.12"
"01.04.2021 21:36 - 01.04.2021 21:37","Surplus","17.82"
"01.04.2021 21:37 - 01.04.2021 21:38","Surplus","69.51"
"01.04.2021 21:38 - 01.04.2021 21:39","Surplus","135.75"
"01.04.2021 21:39 - 01.04.2021 21:40","Surplus","111.59"
"01.04.2021 21:40 - 01.04.2021 21:41","Surplus","96.31"
"01.04.2021 21:41 - 01.04.2021 21:42","Surplus","97.90"
"01.04.2021 21:42 - 01.04.2021 21:43","Surplus","142.91"
"01.04.2021 21:43 - 01.04.2021 21:44","Surplus","114.26"
"01.04.2021 21:44 - 01.04.2021 21:45","Surplus","91.82"
"01.04.2021 21:45 - 01.04.2021 21:46","Surplus","57.75"
"01.04.2021 21:46 - 01.04.2021 21:47","Surplus","42.02"
"01.04.2021 21:47 - 01.04.2021 21:48","Surplus","13.57"
"01.04.2021 21:48 - 01.04.2021 21:49","Surplus","8.91"
"01.04.2021 21:49 - 01.04.2021 21:50","Deficit","14.08"
"01.04.2021 21:50 - 01.04.2021 21:51","Surplus","24.50"
"01.04.2021 21:51 - 01.04.2021 21:52","Surplus","54.70"
"01.04.2021 21:52 - 01.04.2021 21:53","Surplus","88.10"
"01.04.2021 21:53 - 01.04.2021 21:54","Surplus","139.07"
"01.04.2021 21:54 - 01.04.2021 21:55","Surplus","98.65"
"01.04.2021 21:55 - 01.04.2021 21:56","Surplus","117.30"
"01.04.2021 21:56 - 01.04.2021 21:57","Surplus","121.26"
"01.04.2021 21:57 - 01.04.2021 21:58","Surplus","105.73"
"01.04.2021 21:58 - 01.04.2021 21:59","Surplus","88.96"
"01.04.2021 21:59 - 01.04.2021 22:00","Surplus","47.69"
"01.04.2021 22:00 - 01.04.2021 22:01","Deficit","53.23"
"01.04.2021 22:01 - 01.04.2021 22:02","Deficit","182.55"
"01.04.2021 22:02 - 01.04.2021 22:03","Deficit","130.71"
"01.04.2021 22:03 - 01.04.2021 22:04","Deficit","127.17"
"01.04.2021 22:04 - 01.04.2021 22:05","Deficit","169.69"
"01.04.2021 22:05 - 01.04.2021 22:06","Deficit","148.80"
"01.04.2021 22:06 - 01.04.2021 22:07","Deficit","165.44"
"01.04.2021 22:07 - 01.04.2021 22:08","Deficit","174.41"
"01.04.2021 22:08 - 01.04.2021 22:09","Deficit","115.87"
"01.04.2021 22:09 - 01.04.2021 22:10","Deficit","76.65"
"01.04.2021 22:10 - 01.04.2021 22:11","Deficit","57.88"
"01.04.2021 22:11 - 01.04.2021 22:12","Deficit","63.47"
"01.04.2021 22:12 - 01.04.2021 22:13","Deficit","18.67"
"01.04.2021 22:13 - 01.04.2021 22:14","Surplus","16.10"
"01.04.2021 22:14 - 01.04.2021 22:15","Surplus","6.21"
"01.04.2021 22:15 - 01.04.2021 22:16","Surplus","24.84"
"01.04.2021 22:16 - 01.04.2021 22:17","Deficit","6.04"
"01.04.2021 22:17 - 01.04.2021 22:18","Deficit","28.09"
"01.04.2021 22:18 - 01.04.2021 22:19","Surplus","7.46"
"01.04.2021 22:19 - 01.04.2021 22:20","Surplus","6.01"
"01.04.2021 22:20 - 01.04.2021 22:21","Surplus","18.01"
"01.04.2021 22:21 - 01.04.2021 22:22","Surplus","10.41"
"01.04.2021 22:22 - 01.04.2021 22:23","Surplus","12.54"
"01.04.2021 22:23 - 01.04.2021 22:24","Surplus","9.76"
"01.04.2021 22:24 - 01.04.2021 22:25","Surplus","17.54"
"01.04.2021 22:25 - 01.04.2021 22:26","Surplus","1.40"
"01.04.2021 22:26 - 01.04.2021 22:27","Surplus","22.06"
"01.04.2021 22:27 - 01.04.2021 22:28","Surplus","33.38"
"01.04.2021 22:28 - 01.04.2021 22:29","Surplus","44.72"
"01.04.2021 22:29 - 01.04.2021 22:30","Surplus","51.43"
"01.04.2021 22:30 - 01.04.2021 22:31","Surplus","27.02"
"01.04.2021 22:31 - 01.04.2021 22:32","Surplus","16.14"
"01.04.2021 22:32 - 01.04.2021 22:33","Surplus","4.48"
"01.04.2021 22:33 - 01.04.2021 22:34","Surplus","54.00"
"01.04.2021 22:34 - 01.04.2021 22:35","Surplus","25.53"
"01.04.2021 22:35 - 01.04.2021 22:36","Deficit","0.39"
"01.04.2021 22:36 - 01.04.2021 22:37","Surplus","11.49"
"01.04.2021 22:37 - 01.04.2021 22:38","Surplus","16.38"
"01.04.2021 22:38 - 01.04.2021 22:39","Surplus","36.67"
"01.04.2021 22:39 - 01.04.2021 22:40","Deficit","0.81"
"01.04.2021 22:40 - 01.04.2021 22:41","Surplus","3.42"
"01.04.2021 22:41 - 01.04.2021 22:42","Deficit","14.82"
"01.04.2021 22:42 - 01.04.2021 22:43","Surplus","55.79"
"01.04.2021 22:43 - 01.04.2021 22:44","Surplus","93.55"
"01.04.2021 22:44 - 01.04.2021 22:45","Surplus","58.70"
"01.04.2021 22:45 - 01.04.2021 22:46","Deficit","20.00"
"01.04.2021 22:46 - 01.04.2021 22:47","Deficit","29.77"
"01.04.2021 22:47 - 01.04.2021 22:48","Deficit","13.70"
"01.04.2021 22:48 - 01.04.2021 22:49","Deficit","11.15"
"01.04.2021 22:49 - 01.04.2021 22:50","Deficit","9.93"
"01.04.2021 22:50 - 01.04.2021 22:51","Surplus","1.15"
"01.04.2021 22:51 - 01.04.2021 22:52","Deficit","6.98"
"01.04.2021 22:52 - 01.04.2021 22:53","Deficit","4.02"
"01.04.2021 22:53 - 01.04.2021 22:54","Surplus","8.13"
"01.04.2021 22:54 - 01.04.2021 22:55","Deficit","2.77"
"01.04.2021 22:55 - 01.04.2021 22:56","Deficit","2.17"
"01.04.2021 22:56 - 01.04.2021 22:57","Deficit","6.78"
"01.04.2021 22:57 - 01.04.2021 22:58","Surplus","13.43"
"01.04.2021 22:58 - 01.04.2021 22:59","Deficit","1.21"
"01.04.2021 22:59 - 01.04.2021 23:00","Deficit","3.55"
"01.04.2021 23:00 - 01.04.2021 23:01","Deficit","2.42"
"01.04.2021 23:01 - 01.04.2021 23:02","Deficit","40.48"
"01.04.2021 23:02 - 01.04.2021 23:03","Deficit","82.56"
"01.04.2021 23:03 - 01.04.2021 23:04","Deficit","128.47"
"01.04.2021 23:04 - 01.04.2021 23:05","Deficit","151.93"
"01.04.2021 23:05 - 01.04.2021 23:06","Deficit","100.68"
"01.04.2021 23:06 - 01.04.2021 23:07","Deficit","91.34"
"01.04.2021 23:07 - 01.04.2021 23:08","Deficit","69.95"
"01.04.2021 23:08 - 01.04.2021 23:09","Deficit","38.23"
"01.04.2021 23:09 - 01.04.2021 23:10","Surplus","36.36"
"01.04.2021 23:10 - 01.04.2021 23:11","Surplus","46.86"
"01.04.2021 23:11 - 01.04.2021 23:12","Surplus","37.37"
"01.04.2021 23:12 - 01.04.2021 23:13","Surplus","17.44"
"01.04.2021 23:13 - 01.04.2021 23:14","Deficit","26.28"
"01.04.2021 23:14 - 01.04.2021 23:15","Deficit","25.42"
"01.04.2021 23:15 - 01.04.2021 23:16","Deficit","57.31"
"01.04.2021 23:16 - 01.04.2021 23:17","Deficit","61.21"
"01.04.2021 23:17 - 01.04.2021 23:18","Deficit","25.66"
"01.04.2021 23:18 - 01.04.2021 23:19","Surplus","12.42"
"01.04.2021 23:19 - 01.04.2021 23:20","Deficit","20.52"
"01.04.2021 23:20 - 01.04.2021 23:21","Deficit","15.89"
"01.04.2021 23:21 - 01.04.2021 23:22","Deficit","32.26"
"01.04.2021 23:22 - 01.04.2021 23:23","Surplus","7.83"
"01.04.2021 23:23 - 01.04.2021 23:24","Surplus","24.54"
"01.04.2021 23:24 - 01.04.2021 23:25","Deficit","28.33"
"01.04.2021 23:25 - 01.04.2021 23:26","Deficit","106.93"
"01.04.2021 23:26 - 01.04.2021 23:27","Deficit","0.17"
"01.04.2021 23:27 - 01.04.2021 23:28","Surplus","11.81"
"01.04.2021 23:28 - 01.04.2021 23:29","Surplus","12.40"
"01.04.2021 23:29 - 01.04.2021 23:30","Deficit","7.66"
"01.04.2021 23:30 - 01.04.2021 23:31","Deficit","24.72"
"01.04.2021 23:31 - 01.04.2021 23:32","Surplus","5.33"
"01.04.2021 23:32 - 01.04.2021 23:33","Surplus","1.32"
"01.04.2021 23:33 - 01.04.2021 23:34","Deficit","4.78"
"01.04.2021 23:34 - 01.04.2021 23:35","Deficit","0.46"
"01.04.2021 23:35 - 01.04.2021 23:36","Surplus","2.39"
"01.04.2021 23:36 - 01.04.2021 23:37","Deficit","1.22"
"01.04.2021 23:37 - 01.04.2021 23:38","Deficit","0.79"
"01.04.2021 23:38 - 01.04.2021 23:39","Deficit","2.74"
"01.04.2021 23:39 - 01.04.2021 23:40","Deficit","5.46"
"01.04.2021 23:40 - 01.04.2021 23:41","Surplus","1.96"
"01.04.2021 23:41 - 01.04.2021 23:42","Surplus","2.80"
"01.04.2021 23:42 - 01.04.2021 23:43","Surplus","3.34"
"01.04.2021 23:43 - 01.04.2021 23:44","Deficit","4.85"
"01.04.2021 23:44 - 01.04.2021 23:45","Deficit","9.11"
"01.04.2021 23:45 - 01.04.2021 23:46","Deficit","3.09"
"01.04.2021 23:46 - 01.04.2021 23:47","Deficit","6.36"
"01.04.2021 23:47 - 01.04.2021 23:48","Deficit","1.62"
"01.04.2021 23:48 - 01.04.2021 23:49","Deficit","0.72"
"01.04.2021 23:49 - 01.04.2021 23:50","Deficit","1.81"
"01.04.2021 23:50 - 01.04.2021 23:51","Surplus","2.99"
"01.04.2021 23:51 - 01.04.2021 23:52","Deficit","0.12"
"01.04.2021 23:52 - 01.04.2021 23:53","Surplus","3.68"
"01.04.2021 23:53 - 01.04.2021 23:54","Deficit","7.90"
"01.04.2021 23:54 - 01.04.2021 23:55","Deficit","8.90"
"01.04.2021 23:55 - 01.04.2021 23:56","Surplus","7.59"
"01.04.2021 23:56 - 01.04.2021 23:57","Surplus","1.32"
"01.04.2021 23:57 - 01.04.2021 23:58","Deficit","0.10"
"01.04.2021 23:58 - 01.04.2021 23:59","Surplus","14.27"
"01.04.2021 23:59 - 02.04.2021 00:00","Surplus","7.21"
